Country,Code,Cluster,WB_Human_Pop2015,UrbanPC,HDI,UrbanDogs,RuralDogs,TotalDogs,VaxEndemic,CurrantUnvax,Vax_to_reach_goal
Niue ,NIU,Oceania ,1591,100,0.91,212,0,212,0,64,0
Norway ,NOR,EU ,5195921,80,0.94,643279,156093,799372,0,239812,0
Oman ,OMN,Middle East ,4490541,78,0.71,464867,70213,535079,80262,454817,294294
Pakistan ,PAK,Asia 3 ,188924874,39,0.5,9763134,8091005,17854139,907883,16946256,11590014
Palau ,PLW,Oceania ,21291,87,0.78,2472,192,2664,0,799,0
Panama ,PAN,CA & Mex* ,3929141,67,0.77,348866,175020,523885,0,488960,331794
Papua New Guinea ,PNG,Oceania ,7619321,13,0.47,132119,463526,595645,0,178694,0
Paraguay ,PRY,Southern Cone ,6639123,60,0.67,528173,357043,885216,0,144290,0
Peru ,PER,Andean ,31376670,79,0.73,3288652,894904,4183556,1369595,2813961,1558895
Philippines ,PHL,Asia 4 ,100699395,44,0.64,5957779,3917206,9874985,987499,8887487,5924991
Poland ,POL,EasternEurope ,37999494,61,0.81,3539156,2306920,5846076,3647951,2198125,444302
Portugal ,PRT,EU ,10348648,63,0.81,1010474,581626,1592100,0,477630,0
Qatar ,QAT,Middle East ,2235355,99,0.83,295794,1182,296976,54941,242035,152943
Republic of Korea ,KOR,Asia 1 ,50617045,82,0.9,5566120,620360,6186480,0,1855944,0
Romania ,ROU,EasternEurope ,19832389,55,0.78,1664822,1386315,3051137,1424881,1626256,710915
Russian Federation ,RUS,Eurasia ,144096812,74,0.76,14219089,2619136,16838225,6735290,10102935,5051468
Rwanda ,RWA,Congo Basin ,11609666,29,0.43,157776,1116866,1274642,331407,943235,560842
Saint Kitts Nevis ,KNA,Caribbean ,55572,32,0.74,2375,5035,7410,0,3327,1104
Saint Lucia ,LCA,Caribbean ,184999,19,0.72,4564,20102,24667,0,11075,3675
St Vincent & Gren. ,VCT,Caribbean ,109462,51,0.72,7378,7217,14595,0,6553,2175
Samoa ,WSM,Oceania ,193228,19,0.69,4920,10932,15852,0,4756,0
San Marino ,SMR,EU ,31781,94,0.94,4605,284,4889,0,1467,0
Sao Tome &Principe ,STP,West Africa ,190344,65,0.51,5844,8979,14823,0,14705,10258
Saudi Arabia ,SAU,Middle East ,31540372,83,0.77,3495935,372088,3868023,715584,3152439,1992032
Senegal ,SEN,West Africa ,15129273,44,0.46,312013,1150622,1462635,11701,1450934,1012143
Serbia and Montenegro ,SRB,EasternEurope ,7098247,56,0.77,606660,485378,1092038,509982,582056,254445
Seychelles ,SYC,SADC ,92900,54,0.77,2361,5789,8150,0,8110,5665
Sierra Leone ,SLE,West Africa ,6453184,40,0.34,121582,523737,645319,5163,640156,446560
Singapore ,SGP,Asia 1 ,5535002,100,0.87,738000,0,738000,0,221400,0
Slovakia ,SVK,EasternEurope ,5424050,54,0.83,447259,387210,834469,389697,444772,194431
Slovenia ,SVN,EasternEurope ,2063768,50,0.88,157640,159863,317503,148274,169229,73978
Solomon Islands ,SLB,Oceania ,583591,22,0.51,17375,31698,49073,0,14722,0
