2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,code,country
24602.775043256912,25117.35600401193,25630.53380024511,26143.014162085467,26654.38822824919,27164.186104536187,27671.93611908861,28177.252520173453,28679.740075216396,29178.934222990592,AFG,Afghanistan
59645.11993875723,61525.37094914309,63448.98933881201,65416.4649899324,67427.74347115221,69482.62946997289,71580.8812471545,73722.28427913306,75906.5760146811,78133.25856701954,AGO,Angola
28793.140936495187,28765.03631468056,28727.96213271233,28682.212474529948,28628.581366769984,28567.980469644754,28501.272429376688,28428.888569076997,28351.20139506901,28269.220595544855,ARM,Armenia
56313.89767853712,56632.026183648304,56927.479260346154,57201.05957866298,57455.86392635868,57695.715832979135,57923.50057188379,58140.60654529077,58347.35373652374,58543.79095659819,AZE,Azerbaijan
210139.7027349894,212081.046630996,213952.99002274976,215757.78027118143,217496.4702690511,219173.52142635887,220791.98177841684,222350.32373844093,223845.28988227638,225276.6327503819,BGD,Bangladesh
13374.38315750852,13720.250133806756,14071.472287695931,14427.896614102021,14789.438662172473,15155.996097344796,15527.468572135367,15903.722952258995,16284.671806244816,16670.22273492474,BEN,Benin
2201.333952507138,2221.6583967667793,2241.251454599944,2260.1055337599882,2278.2282264935575,2295.6600247827378,2312.3376599055164,2328.3218698350265,2343.5620395936558,2358.144214643345,BTN,Bhutan
78807.76438741673,79855.68040318016,80899.0479311846,81937.07227825621,82969.14611790446,83994.73965468013,85013.25202301281,86024.0112872108,87026.30674606175,88018.78160634212,BOL,Bolivia
13690.898959324888,14067.315591620383,14450.980127598486,14841.781160277606,15239.61900972681,15644.338292524393,16055.791247831568,16473.836564687466,16898.30361450445,17328.969583319304,BFA,Burkina Faso
14756.601930767145,15177.14719907772,15602.604981400233,16032.965386766868,16469.049365505787,16912.033942786315,17362.878542485923,17821.861210699706,18289.186360762396,18765.638676120187,BDI,Burundi
39952.06110385695,40427.814248328345,40893.699190372805,41349.75679211219,41797.26512991327,42238.04483831628,42673.39896498467,43103.67937818993,43528.77938239168,43949.00998373957,KHM,Cambodia
34329.36090600703,35164.57441686622,36012.12108315323,36872.010493327136,37744.45599060135,38629.732044615615,39527.99566638655,40439.22528188134,41363.14522290286,42299.39712079484,CMR,Cameroon
4428.304683143485,4528.923949545177,4630.936820881412,4734.17827584555,4838.690394870786,4944.793319291992,5052.634743178609,5162.056246076266,5272.6403240791715,5384.130369055509,CAF,Central African Republic
12068.568217485055,12408.59512887855,12753.591937868689,13103.598958784383,13458.507144670382,13818.238510431427,14182.688635346734,14551.727984851284,14925.227024380061,15303.044323336555,TCD,Chad
10069.743609011115,10327.111390275615,10590.825458715964,10860.809025377175,11137.087686577575,11419.682239325804,11708.535091905633,12003.614248919133,12304.76453268644,12611.64999152948,COG,Congo
138929.69866767808,138951.08499884568,138955.52640396403,138943.63840385107,138909.3140664693,138845.17921103784,138745.63380501626,138608.08300574037,138433.41992184805,138223.85318686286,CUB,Cuba
219979.01294735516,220764.97713233053,221514.0450516033,222223.55253339917,222888.04556568994,223500.99776541867,224057.64210824744,224556.03492168683,224996.2180952301,225378.0575824989,PRK,Dem. People's Republic of Korea
