2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,code,country
10057.101898301667,11894.952409596963,12636.20629393885,13397.05385242093,14177.236943516014,14976.431985397052,15794.277844970175,16630.427424991605,17484.49785412198,17961.402660032538,18266.339007199764,18568.63236113536,18868.012805334853,19164.20312825311,19456.845143393664,19745.573369219364,20030.03764377848,AFG,Afghanistan
82064.65857940415,91125.7316492897,92565.13204266128,93986.39275659283,95389.37757741963,96775.46781409423,97990.2159383936,98681.82739972768,99345.31188895174,99980.55958045668,100587.61588290779,101166.55946945776,101717.19761728287,102239.59210328825,102734.4298655388,103202.6465337431,103644.91531776488,BGD,Bangladesh
5392.508184409112,6378.535057964493,6802.291718855469,7241.662240197887,7696.891559677579,8168.20872369147,8655.836309175695,9159.97057901691,9545.654915131261,9771.654932888796,10000.29199995444,10231.511954317228,10465.24607428582,10701.39127732323,10939.818273467783,11180.369818171519,11422.910215213418,BEN,Benin
5793.890283334922,6987.937342391684,7497.414096030399,8027.68360625857,8579.162203818283,9152.22483329384,9747.237351373398,10364.55663008066,11004.507975922705,11667.366498559313,12353.356653292427,12723.4908057317,13036.353152661164,13352.856845168035,13672.781034229454,13995.876598869712,14321.91449529701,BFA,Burkina Faso
6297.606071344397,7629.301072267334,8198.527916199762,8789.822525900288,9403.9886502972,10042.116260337692,10705.268391647045,11394.159855630245,12109.482041081626,12852.342378681238,13623.985891237091,14243.550569738,14609.904665207541,14984.018518435849,15365.793051821302,15754.977797187006,16151.294544627617,BDI,Burundi
15456.65176545057,17061.5136374754,17366.17097659914,17669.090782520903,17970.744671921115,18271.85247485971,18485.78616616812,18672.180311066906,18856.3303428785,19038.370987059934,19218.36616444849,19396.330626006617,19572.289940069215,19746.102497396787,19917.38968995315,20085.67752014495,20250.530342881204,KHM,Cambodia
13508.086662651795,15829.742846499003,16823.590370942948,17852.235544863044,18916.41488108249,20016.911076439446,21154.4626338948,21773.639739527454,22271.104757804682,22775.20965566193,23285.720820852337,23802.398187752053,24325.06299781859,24853.56746871899,25387.732196573063,25927.377132162932,26472.293831411956,CMR,Cameroon
1861.811084275622,2229.2366688880284,2379.183188166828,2534.181333898454,2694.3339154418895,2859.908188606847,3031.095536124254,3207.9098319914583,3390.184718390872,3577.824788784811,3748.337271632655,3825.032403558795,3901.8648367424194,3978.799120449014,4055.784610772128,4132.81680603119,4209.8855774449075,CAF,Central African Republic
5115.8176670329885,6178.381467659292,6633.348180800735,7106.353092141269,7597.6683916936145,8107.574809003581,8636.330049527189,9184.166693891617,9751.30581765305,10337.948954950212,10944.28692281678,11300.329429562327,11574.501948478568,11851.305616475913,12130.608457867489,12412.295226278853,12696.225581366936,TCD,Chad
295.81671212771437,347.68702760141707,368.6676249355461,390.2298757792868,412.3760796639408,435.11546263254127,458.44984582649,482.38121112285353,497.4779931713112,506.44900407372216,515.4543468573246,524.4967319337916,533.5644141858736,542.6623627016374,551.7842531871797,560.9210509369237,570.0637212452924,COM,Comoros
3880.287078258342,4524.542057925156,4807.781120362984,5102.317077145044,5408.460180755929,5726.107076423127,5870.944938680492,6018.9048217726295,6169.908915827755,6323.788766484285,6480.347843653698,6639.384002102086,6800.820234121297,6964.542632476351,7130.323382697292,7297.89616646008,7467.04279525828,COG,Congo
78205.82344482349,85191.69148252206,85480.75165822144,85754.5457322582,86010.9690387742,86247.50309128166,86462.30832776324,86654.63469832782,86824.49836784376,86971.84760873237,87096.805273993,87199.76255343964,87280.70651517752,87340.05097983625,87379.01154551518,87399.18853418018,87401.91716395642,PRK,Dem. People's Republic of Korea
29149.12070677992,35646.630293319846,38449.75813414018,41376.50694569753,44429.99265443966,47613.359579720054,50929.55396544862,54381.26249849379,57970.7863116386,61700.08476363402,65570.74276071796,69584.16676792901,72611.5863241452,74531.63717963094,76474.7206049441,78438.72616415788,80421.7875828631,COD,Democratic Republic of the Congo
205.01505508425785,239.2918339324787,251.87187617929123,264.6328312026576,277.56118608220197,290.64651180935914,303.8757355890485,317.23860574797607,325.3341032089395,328.50217721327044,331.5802091462464,334.5628527598806,337.4484197653353,340.2380356885022,342.9305750034896,345.52716323618927,348.0266748607095,DJI,Djibouti
1711.142027953455,2043.8433788783166,2178.076451784521,2316.5823289170585,2459.4854679072546,2606.9335378326778,2759.0719085297364,2915.9755785358,3077.6652478371057,3244.1793850734834,3377.2432271722055,3443.853683435489,3511.0238212349723,3578.6872770054147,3646.733135417504,3715.025420774636,3783.4379030785967,ERI,Eritrea
48135.55572444489,57349.51717993656,61077.516807577296,64911.550641689275,68851.03954344479,72895.50200863165,77044.25607710314,81296.35303900066,85650.42751449114,90104.75974531511,92467.80610923795,94106.06468104945,95735.86369479107,97356.5605511909,98968.00705271348,100570.41657921279,102163.68705271836,ETH,Ethiopia
553.9888627086208,657.0185155774773,701.8536075567295,748.350957504282,796.5263144362689,846.3941971470223,897.9670464245582,951.2594546183194,997.7912770862259,1022.0472592687713,1046.4776652112694,1071.0679332205113,1095.8009691349046,1120.6536641804446,1145.6013267903872,1170.6186322808917,1195.6739247971566,GMB,Gambia
20336.251325701123,23554.62388732838,24872.57438345421,26225.78924358623,27614.761590506496,28872.07899193713,29402.618838015485,29936.59453296002,30473.85628069808,31014.203827532554,31557.391192544164,32103.140070397945,32651.216306180348,33201.46300821529,33753.80370166569,34308.20212011394,34864.502948684756,GHA,Ghana
