2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,code,country
15832.31291602625,18922.080506725935,20163.879876242645,21444.391296767666,22763.491666893155,24120.947368999692,25516.457703452867,26919.86098094491,28302.354445038014,29074.32564867431,29567.92956299361,30057.255234273754,30541.86574561592,31021.31237155642,31495.015311561965,31962.38295653436,32422.84849536165,AFG,Afghanistan
136991.7306631639,154686.10375921978,157912.23806580916,161131.61716512544,164343.54620032152,166810.52266244733,168904.36704361695,170096.4880630276,171240.12701332953,172335.0945896539,173381.46906228294,174379.38603903152,175328.5133262593,176228.95740795508,177081.90234966998,177888.96088326926,178651.29341119548,BGD,Bangladesh
8630.968749893791,10336.583922404496,11064.062032279582,11822.109516537339,12611.40845054065,13432.620648525644,14280.432618696324,15112.155310079886,15748.45883723059,16121.314551009444,16498.52087905728,16879.98846467643,17265.603930551573,17655.19721070976,18048.555002066227,18445.41788195035,18845.56197820562,BEN,Benin
8784.518021052969,10650.972739368415,11445.563940094962,12274.400545964338,13138.27030611816,14037.901499822365,14974.012055892577,15947.309602136524,16958.456559063572,17993.691399843654,19051.641807857563,19622.471541916002,20104.975329036664,20593.094886314895,21086.48961511057,21584.775315102328,22087.598749481578,BFA,Burkina Faso
9470.144668916226,11518.537287837196,12392.71757553826,13302.346477521249,14248.761129850765,15233.738657037822,16259.023131825343,17325.83678403884,18435.371337968496,19587.80634775578,20763.841287388084,21708.0981850658,22266.445672654358,22836.619536152128,23418.46877484525,24011.611658929105,24615.624178399165,BDI,Burundi
26147.091761711654,29384.83609025705,30069.213502248112,30756.16865392481,31373.847829271326,31899.53057431428,32273.022224170716,32598.43453429378,32919.92900663135,33237.74084879806,33551.98165564758,33862.67717983846,34169.872059312125,34473.31906854665,34772.35722263957,35066.15900282987,35353.96384726875,KHM,Cambodia
22316.037831255016,26566.619848691065,28366.911719923406,30241.787476438913,32193.32179019395,34148.83122170374,36089.49309471631,37145.80864689358,37994.483494025524,38854.48596939363,39725.4175307274,40606.86862630129,41498.53429421217,42400.162417940825,43311.44693463863,44232.080680511455,45161.70805016317,CMR,Cameroon
2841.6085025461407,3423.810308165368,3660.964706279309,3906.77110328626,4161.431964153759,4425.405402476478,4699.034988431667,4982.390799261383,5275.2626242490505,5568.7290046314265,5834.1242838700755,5953.496928111885,6073.083275802035,6192.8281494108305,6312.652723895851,6432.54999258666,6552.5041904747695,CAF,Central African Republic
7743.65832619669,9399.139542834488,10106.451946690755,10843.369783394459,11610.43279030281,12408.19626461744,13237.182782469055,14097.878710900915,14990.754858256036,15906.232749880928,16839.159859891202,17386.975969820236,17808.824821899794,18234.7220272713,18664.46452476643,19097.87499336499,19534.73750182464,TCD,Chad
475.1017895153788,565.5985861535552,602.0157085068288,639.6465544868505,678.5057324279404,718.6193472751513,759.2404712260353,798.8732930714377,823.8751291955268,838.7320532558704,853.6458344705813,868.6209615623734,883.6379833994888,898.705129306902,913.8119255982821,928.9434098645852,944.0846196967666,COM,Comoros
6602.057052289404,7841.645307968975,8378.259724311101,8940.055349934239,9493.493469228903,10051.060434456314,10305.294958421171,10565.009579015226,10830.067716235124,11100.173681413833,11374.982504439795,11654.13935891256,11937.509072870054,12224.891704451702,12515.887369936363,12810.028599621852,13106.932406282282,COG,Congo
151860.73994202417,166564.24244367942,167129.4042376072,167664.71820700826,168166.06937226254,168628.53366405467,169048.5144258503,169424.54518257736,169756.65753930208,170044.75035981266,170289.063842612,170490.36283030277,170648.6220388316,170764.65055789365,170840.82508846768,170880.2745321082,170885.60946728417,PRK,Dem. People's Republic of Korea
43133.36056978746,52813.016476077995,56987.07571879961,61347.489179544646,65899.08124160429,70646.72523221443,75595.00735201522,80748.13484238376,86109.74811986204,91682.98477675123,97464.70526900579,103430.2803336323,107930.2530706958,110784.22700560035,113672.43667637279,116591.7451196826,119539.37829519437,COD,Democratic Republic of the Congo
328.70164609207956,388.5222922827557,410.48374977864404,432.8945923739029,455.73594277104985,478.993676404637,502.2942185662492,524.382498866977,537.7640265601221,543.000723900503,548.0885853630153,553.0187738174108,557.7884985909791,562.3996201321937,566.8502779925815,571.1423326206154,575.2739235678225,DJI,Djibouti
2620.374839893827,3151.0890789694204,3364.8293509394343,3586.020370053967,3814.895123890839,4051.7242267409038,4296.776552764235,4550.212977618295,4811.866757573337,5072.208210301773,5280.250809762451,5384.394897695776,5489.414036280163,5595.204467436748,5701.592777313458,5808.366370685783,5915.3278895296035,ERI,Eritrea
74292.1350830071,89211.52426824856,95233.91899325827,101449.28101450767,107857.86559802701,114460.07284924564,121255.98034768646,128245.23490549496,135296.44371712208,142332.6644045562,146065.4159932549,148653.26715859422,151227.75530689454,153787.865365625,156333.36323671875,158864.58598253765,161381.37235711038,ETH,Ethiopia
883.1362178365969,1059.9653935746526,1136.3309433731404,1215.912610754886,1298.7647320496642,1384.9399926100455,1474.4879993766135,1562.3466202011011,1638.7703920875006,1678.6083685707551,1718.7328182874917,1759.119825141992,1799.7413137175447,1840.5593302100774,1881.533321239896,1922.6216935970576,1963.772455769133,GMB,Gambia
34760.92485863359,41028.48068627149,43566.918368088314,46193.197693692746,48679.87361157837,50896.29876486752,51831.54539259431,52772.84880585612,53719.94494103389,54672.480786763284,55630.02272278572,56592.08014669323,57558.240285355045,58528.22656687548,59501.904179828,60479.20919302057,61459.86781417461,GHA,Ghana
