country,CODE,HDI,gavi,endemic,hdr_rel,ID,free,pop2024,pop2025,pop2026,pop2027,pop2028,pop2029,pop2030,pop2031,pop2032,pop2033,pop2034,pop2035,pop2036,pop2037,pop2038,pop2039,pop2040
South Sudan,SSD,0.408,TRUE,1,23.173607454162905,NA,FALSE,15032440,15395477,15761305,16130267,16502233,16876974,17254367,17634307,18016908,18402372,18790970,19182891,19578154,19976625,20378119,20782386,21189205
Sudan,SDN,0.408,TRUE,1,23.173607454162905,FALSE,FALSE,47872430,48999711,50141051,51296028,52464484,53646648,54842478,56051316,57272095,58503852,59745525,60996110,62254963,63521438,64794628,66073569,67357464
Syrian Arab Republic,SYR,0.632,TRUE,1,20.150608043967026,FALSE,TRUE,22487636,23410906,24211928,24907221,25514968,26072715,26608489,27120835,27597719,28045737,28472807,28885224,29286341,29677328,30059500,30433257,30798944
Tajikistan,TJK,0.607,TRUE,1,24.680005895357407,FALSE,FALSE,10187895,10360358,10530400,10698174,10864265,11029469,11194411,11359262,11524091,11689347,11855513,12022921,12191668,12361646,12532613,12704211,12876073
Tanzania,TZA,0.466,TRUE,1,16.03179909502262,TRUE,FALSE,70613532,72681070,74794078,76952218,79155997,81405880,83702053,86044557,88432938,90866132,93342754,95861531,98421696,101022629,103663322,106342632,109059518
Togo,TGO,0.435,TRUE,1,14.83238766519824,FALSE,FALSE,9200531,9411356,9625068,9841604,10060882,10282798,10507241,10734128,10963365,11194773,11428165,11663343,11900152,12138472,12378124,12618921,12860688
Uganda,UGA,0.446,TRUE,1,10.71728202044498,TRUE,FALSE,53436321,55085460,56769412,58487747,60239885,62025011,63842360,65691400,67571502,69481538,71420257,73386500,75379412,77398346,79442649,81511732,83604961
Yemen,YEM,0.462,TRUE,1,23.735873544093177,FALSE,FALSE,32900886,33560644,34218019,34872702,35524173,36171853,36815286,37453909,38087508,38716410,39341197,39962096,40578956,41191012,41797181,42396011,42986334
Zambia,ZMB,0.43,TRUE,1,13.12820430107527,FALSE,FALSE,20982764,21593825,22219440,22859363,23513109,24179963,24859376,25551178,26255378,26971852,27700551,28441399,29194278,29959107,30736002,31525138,32326616
Zimbabwe,ZWE,0.376,TRUE,1,11.928241796200345,FALSE,FALSE,19190301,19571154,19955912,20343863,20735073,21129447,21526861,21927311,22330754,22736929,23145468,23556026,23968335,24382067,24796673,25211507,25625981
