2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,code,country
4916.663611524355,5019.498412902619,5122.05280331369,5224.46781715872,5326.661746850141,5428.540687870643,5530.01038045254,5630.993735263211,5731.411768301342,5831.171640800765,5930.169264399928,6028.308839912823,6125.502738912205,6221.660964634953,6316.667231789775,6410.402886749502,6502.754249392305,AFG,Afghanistan
20791.862135101335,20983.944612221294,21169.160392102465,21347.731835479306,21519.763118767907,21685.69566746019,21845.831063452228,22000.01816265559,22147.934665604436,22289.556087898167,22424.892552894715,22553.9615999003,22676.72026350037,22793.182316170278,22903.50090312735,23007.8846126307,23106.483529347577,BGD,Bangladesh
2298.270815565198,2357.705031583434,2418.059488051228,2479.3078923843063,2541.4357324419993,2604.425422924436,2668.259719993879,2732.9157456873886,2798.3784756710957,2864.6320319557954,2931.65865851055,2999.442477346157,3067.963342196743,3137.191033663503,3207.087649449624,3277.6070921670985,3348.7095814773816,BEN,Benin
3885.478546938301,3992.3056262878813,4101.189661455539,4212.09903512832,4325.005458131473,4439.8648326337725,4556.635224093826,4675.276528446254,4795.740321280163,4917.963367969642,5041.8697869636,5167.3861928146,5294.448851676002,5422.990368749138,5552.921050709364,5684.139722155222,5816.553361623864,BFA,Burkina Faso
4535.590187407632,4664.849010086397,4795.617743410755,4927.893347292157,5061.928149080099,5198.083919311816,5336.6555465764795,5477.728491141055,5621.365581502207,5767.807998018086,5917.325632994249,6070.109336433998,6226.236799489118,6385.671203309416,6548.370324442834,6714.227422002568,6883.123932535242,BDI,Burundi
3518.493460025983,3560.3920324940714,3601.421533261174,3641.5855609678756,3680.9966730946585,3719.815209071978,3758.155925549561,3796.0498108213233,3833.4874684368524,3870.49628804948,3907.0892647502037,3943.2693974061754,3979.041884053795,4014.377935568392,4049.200581026368,4083.4134568298696,4116.927996435639,KHM,Cambodia
4419.7084698969265,4527.237422685288,4636.354198551809,4747.060031955636,4859.382389612798,4973.35660791638,5089.002901134924,5206.318491735346,5325.267889017162,5445.804955069744,5567.873830616679,5691.417113307619,5816.3920599945895,5942.763334284501,6070.488038721987,6199.523121544287,6329.818741463329,CMR,Cameroon
1179.5988253605926,1206.401490702903,1233.5753804440358,1261.076536691886,1288.9161687089406,1317.1795548058822,1345.9060372961444,1375.0534166033065,1404.5104792603445,1434.2088707450362,1464.0666095886065,1494.023033899951,1524.0330868396632,1554.0829216717302,1584.1527573447042,1614.240835542902,1644.343200056033,CAF,Central African Republic
3479.9435806023853,3577.989549785499,3677.468577383333,3778.3922879388797,3880.729238016177,3984.4569407943573,4089.5452868014077,4195.956925046731,4303.654504539734,4412.597244096803,4522.745124799443,4634.059080560552,4746.492232075602,4860.004369859823,4974.541373090102,5090.05598132936,5206.490643561474,TCD,Chad
122.53065839769113,125.01715698280664,127.51454250465135,130.02255575044597,132.54080790102165,135.07111344583322,137.6128243529325,140.165422196761,142.73033264760468,145.30418593933302,147.88788931667352,150.48222041796393,153.08380947707386,155.6940821642892,158.31122399015507,160.93264282687892,163.55574654666793,COM,Comoros
985.1472206681508,1010.3261293123949,1036.1259104848386,1062.5390517374474,1089.568057219566,1117.2149615525375,1145.4741304003355,1174.3424335762793,1203.804689674965,1233.828031736241,1264.3741149732637,1295.4034990338512,1326.9011590219336,1358.8448706120757,1391.190185153405,1423.885141547015,1456.8871692540429,COG,Congo
4750.903225767055,4767.877753162677,4784.0554291432645,4799.378715391377,4813.7298212005735,4826.967795786947,4838.989685368672,4849.7535123053585,4859.26018128753,4867.506797305505,4874.5002360072785,4880.262390903575,4884.792538241969,4888.113838099923,4890.294323204968,4891.423557919147,4891.576269679886,PRK,Dem. People's Republic of Korea
24251.899434683546,24985.72421203226,25734.317865924102,26497.431787097088,27275.175775977437,28067.65891377461,28874.861302158075,29696.624233961567,30532.608478610622,31382.34750416328,32245.252511827428,33120.72535299297,34008.35583436459,34907.63067491056,35817.69304772409,36737.55450923029,37666.34097132004,COD,Democratic Republic of the Congo
86.14005806299697,87.23823869394054,88.31862907612542,89.38065796303184,90.42187715528932,91.44114415985834,92.43666363053387,93.40770110750479,94.35384855754266,95.27265778127706,96.1653528783932,97.0303833226231,97.86725947409269,98.67630775938468,99.45720175191639,100.21026787827051,100.93517971186432,DJI,Djibouti
1053.8398248118854,1076.5155264765933,1099.4674272946847,1122.6557147755816,1146.111136958882,1169.8703071171713,1193.9636178213811,1218.3878698535189,1243.1183581413059,1268.1405084694418,1293.4212622520006,1318.9318265270463,1344.6567384076134,1370.570581884092,1396.6308784509101,1422.7855519485179,1448.986258638356,ERI,Eritrea
27751.050776452055,28356.55046425116,28963.001885550348,29570.03540891233,30177.33109179737,30784.65690279226,31391.731796096126,31998.207949425803,32603.624672504473,33207.449327330316,33809.10723144969,34408.10554294616,35004.01077677647,35596.58797865107,36185.782962939535,36771.67374795622,37354.22301081876,ETH,Ethiopia
244.08115066079677,250.77882361392514,257.56298383463877,264.43077695767073,271.3785874536831,278.4028949388468,285.4999887383148,292.6672999233471,299.8982634538299,307.1886929273718,314.5315475763147,321.92245070724937,329.3562644626955,336.8260432205038,344.3243656309805,351.84362005341404,359.37429193691486,GMB,Gambia
4956.536238502319,5053.842365894012,5151.647335033498,5249.958733433196,5348.822830041379,5448.293183769236,5548.4084760526175,5649.172128710855,5750.55587454082,5852.521924755176,5955.023861630895,6058.009167680064,6161.433656800957,6265.267722817668,6369.496934579126,6474.114448446681,6579.090955793933,GHA,Ghana
