2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,,,code,country
31269.012784092047,33245.42108756287,35324.579231776814,37513.150004812414,39816.713420564905,42241.11878611449,44792.594972100196,47477.93364927995,50304.39181629851,53279.62660684861,AFG,Afghanistan,AFG,Afghanistan
73740.73839267483,79190.97718625447,85031.76797364249,91293.00305859566,98006.4795343579,105206.64495369849,112931.02637515069,121220.70140818889,130120.59443581442,139679.60112407932,AGO,Angola,AGO,Angola
31602.744111033848,31571.897070986925,31531.205230925007,31480.99137117647,31422.126998627897,31355.612732297195,31282.39539448087,31202.94839632721,31117.680592918787,31027.70019671631,ARM,Armenia,ARM,Armenia
61489.00779151597,61836.37153183366,62158.97602706516,62457.69771066477,62735.9179576491,62997.81167062176,63246.52927254041,63483.58675640718,63709.33351123434,63923.82283365086,AZE,Azerbaijan,AZE,Azerbaijan
218783.1888726609,229913.64463253657,241547.38039268373,253716.4268220524,266454.38487696415,279802.3411856493,293803.7380764666,308500.09482043015,323934.30402175814,340157.7270291661,BGD,Bangladesh,BGD,Bangladesh
16846.696883706223,17991.825518351943,19208.65116510406,20501.66587085432,21875.797370807617,23336.329435513748,24888.966398746146,26539.81828918089,28295.573785910612,30163.47787106945,BEN,Benin,BEN,Benin
2292.5635212814254,2410.060134333842,2533.0830239203374,2661.966884037345,2797.0954388708737,2938.9317231248424,3087.849224182619,3244.425341858286,3409.1408851119845,3582.729638919221,BTN,Bhutan,BTN,Bhutan
88106.08271536636,89277.63955219944,90444.1112373113,91604.609313796,92758.45479832713,93905.05538630078,95043.73931761748,96173.75537668198,97294.3090085378,98403.88333554086,BOL,Bolivia,BOL,Bolivia
17744.08049847108,19023.607503773484,20382.978102871566,21826.872036142777,23360.284308726106,24988.445954743736,26716.938257199996,28551.72221683813,30499.10835285576,32565.738412204933,BFA,Burkina Faso,BFA,Burkina Faso
19203.234750174543,20622.02753635851,22125.403139718503,23718.107596324975,25406.47739935798,27197.97324920391,29100.385826110825,31121.009351733945,33267.559693561154,35549.43396452711,BDI,Burundi,BDI,Burundi
41608.495444224274,43857.809474775335,46221.21692374866,48706.22649692511,51322.57296867018,54081.73738489477,56995.81183021256,60076.911261175264,63337.77505679352,66793.12244466688,KHM,Cambodia,KHM,Cambodia
42496.403770992256,45317.484852604735,48319.69634821748,51515.882237687365,54920.30482460331,58548.61354445631,62417.72799063365,66545.86578156475,70952.5379345189,75658.97016408823,CMR,Cameroon,CMR,Cameroon
