2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,code,country
10057.101898301667,10267.451875007146,10477.228267287637,10686.719562917704,10895.758627922161,11104.153379341122,11311.711007545238,11518.27382526227,11723.680269649542,11927.740437755536,AFG,Afghanistan
23429.70145498587,24168.29867599926,24923.93140218944,25696.79206829316,26486.859292673016,27294.056352982967,28118.28828959801,28959.47083371186,29817.500850367564,30692.18276046991,AGO,Angola
10397.444348089775,10387.295533763261,10373.907736141047,10357.387151396766,10338.02050919922,10316.137017686653,10292.04818563505,10265.909767432402,10237.85627823197,10208.252324896546,ARM,Armenia
20238.75705830132,20353.0898570186,20459.273291089343,20557.59583359837,20649.17044489326,20735.371270411895,20817.235253945695,20895.26137596574,20969.56463587746,21040.16257596304,AZE,Azerbaijan
82064.65857940415,82822.80052943777,83553.83989670087,84258.65433022927,84937.65501022233,85592.58422566058,86224.63230837553,86833.20269862023,87417.0232931337,87975.99745295383,BGD,Bangladesh
5392.508184409112,5531.960634547569,5673.572275031331,5817.281414707674,5963.054003265033,6110.848779737624,6260.625284343466,6412.32983776785,6565.927187923512,6721.380079763671,BEN,Benin
851.9939932912913,859.8602711027411,867.4434765337265,874.7406711166302,881.7547933190698,888.501514968337,894.9563488342882,901.1428026578615,907.0412866549415,912.6851034585243,BTN,Bhutan
28958.833705741392,29343.902688143862,29727.30027558102,30108.734448762018,30487.982038472754,30864.84836518602,31239.112633828263,31610.527933779602,31978.833109576717,32343.52959169869,BOL,Bolivia
5793.890283334922,5953.187103421165,6115.551184382388,6280.935379582705,6449.2975051899975,6620.571804054212,6794.695744847742,6971.609525785067,7151.240938071214,7333.495688434402,BFA,Burkina Faso
6297.606071344397,6477.080210947359,6658.650841206658,6842.313741000165,7028.419263464406,7217.469722132482,7409.874565850693,7605.752455052162,7805.190626260845,8008.523955165471,BDI,Burundi
15456.65176545057,15640.711122520952,15820.952669840102,15997.392216144051,16170.524223565295,16341.053059120277,16509.482845835722,16675.949714494116,16840.41238672916,17002.991184587303,KHM,Cambodia
13508.086662651795,13836.730604419125,14170.227457162555,14508.580993796355,14851.875161662974,15200.217960433298,15553.671171578455,15912.22630604135,16275.774892536792,16644.175918394052,CMR,Cameroon
1861.8110842756219,1904.1148729447818,1947.0045808990594,1990.4108275244675,2034.3513048775726,2078.9606113495097,2124.300842589796,2170.305393209005,2216.7987302537495,2263.6729668692806,CAF,Central African Republic
5115.8176670329885,5259.953711112623,5406.196474851961,5554.56304733335,5705.007203989788,5857.495887252148,6011.984833595664,6168.419133837715,6326.7438787956835,6486.89911660691,TCD,Chad
3880.287078258342,3979.4614877345666,4081.0813831218047,4185.117174472055,4291.578725101317,4400.474048953842,4511.780953568628,4625.487109800674,4741.532721296722,4859.78833203426,COG,Congo
49242.051441114534,49249.63158293872,49251.205788464285,49246.99222204395,49234.826351080104,49212.09448107239,49176.811744184255,49128.0584279483,49066.15108456262,48991.872539057586,CUB,Cuba
78205.82344482349,78485.24544722537,78751.55027629943,79003.79077920318,79240.0279732308,79457.941631765,79655.8370064808,79833.02309278866,79989.51478302889,80125.26442171259,PRK,Dem. People's Republic of Korea
29149.12070677992,30031.127787098438,30930.886044648192,31848.096668137885,32782.891630153266,33735.40203883083,34705.60397774125,35693.30669174972,36698.102448959224,37719.43050995526,COD,Democratic Republic of the Congo
205.01505508425785,207.62874687421123,210.20009751753383,212.7277474361229,215.20586986668062,217.6317456530013,220.00110183533326,222.31219038468717,224.56404017384665,226.75082443951396,DJI,Djibouti
1711.142027953455,1747.961044675225,1785.2285318080687,1822.8798449684082,1860.9649103989177,1899.5431778452098,1938.6639963679613,1978.3221713292069,2018.4775885802082,2059.106583659119,ERI,Eritrea
48135.55572444489,49185.82456644201,50237.744236773426,51290.67359162118,52344.05767499191,53397.49401704367,54450.495130080286,55502.457699328996,56552.58263495818,57599.94605028609,ETH,Ethiopia
553.9888627086208,569.1905127010626,584.5884620917931,600.1762323528158,615.9456173486689,631.8886268948235,647.9968389048842,664.2644227036545,680.6764776767429,697.223501983088,GMB,Gambia
13443.307221501873,13388.640343884397,13334.609818791794,13279.065334120789,13222.237655072702,13164.420482812866,13105.890036294377,13046.723237251019,12987.077425592784,12927.099451902335,GEO,Georgia
20336.251325701123,20735.490182626356,21136.775745288563,21540.139144613073,21945.77021820327,22353.88871376728,22764.653337983174,23178.078130287882,23594.04711272432,24012.405241076227,GHA,Ghana
3195.9434903209317,3276.896795413131,3359.214249745214,3442.785445177441,3527.587292555114,3613.615383948697,3700.85145793584,3789.2556332493346,3878.7790028615004,3969.3795864910676,GIN,Guinea
535.4453808230397,547.4062687784303,559.4523736348401,571.586625486287,583.8168379168187,596.1598589670378,608.6244789189982,621.2092327256905,633.9190038771446,646.7533040243577,GNB,Guinea Bissau
1570.158666147416,1577.138541494071,1583.6767018410908,1589.761471902142,1595.3909057961685,1600.5922458579496,1605.316845061094,1609.6269715993824,1613.4584113979786,1616.8111644568817,GUY,Guyana
11852.020162941539,11970.673803226226,12086.971468750118,12200.908165925328,12312.397006322786,12421.408028415222,12527.877314277803,12631.743942138413,12732.938001766763,12831.363616275597,HTI,Haiti
20612.553578074858,20901.042104290547,21186.07606117135,21467.381562143848,21744.620747128414,22017.431765980593,22285.472760276625,22548.5518094979,22806.490987330304,23059.09437491108,HND,Honduras
1128871.4465040136,1139224.2575265155,1149344.3773444442,1159219.987075741,1168834.7143280187,1178170.6754111308,1187212.436412502,1195952.6942956627,1204384.3939836912,1212493.6207085934,IND,India
